# time(ps) Num_water
10 5
20 9
30 12
40 12
50 14
60 21
70 21
80 20
90 20
100 20
110 20
120 20
130 20
140 23
150 20
160 20
170 20
180 20
190 20
200 20
210 20
220 20
230 22
240 21
250 20
260 22
270 22
280 21
290 20
300 20
310 20
320 20
330 19
340 20
350 19
360 20
370 19
380 22
390 20
400 19
410 21
420 21
430 21
440 20
450 21
460 19
470 20
480 20
490 20
500 20
510 20
520 20
530 21
540 19
550 20
560 21
570 21
580 20
590 21
600 22
610 20
620 19
630 21
640 20
650 19
660 20
670 20
680 20
690 20
700 20
710 20
720 21
730 20
740 20
750 21
760 20
770 19
780 20
790 21
800 21
810 20
820 20
830 21
840 20
850 20
860 20
870 20
880 19
890 21
900 22
910 20
920 21
930 20
940 21
950 20
960 21
970 20
980 21
990 21
1000 21
