# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 0 0
90 0 0
100 0 0
110 0 0
120 0 0
130 0 0
140 0 0
150 0 0
160 0 1
170 0 2
180 0 4
190 0 4
200 0 4
210 1 4
220 2 4
230 2 4
240 2 4
250 2 4
260 2 5
270 3 5
280 3 5
290 4 8
300 5 9
310 5 10
320 5 10
330 6 10
340 6 11
350 6 11
360 6 11
370 6 12
380 6 12
390 6 13
400 6 13
410 6 13
420 7 13
430 9 13
440 9 13
450 9 13
460 9 13
470 9 13
480 9 13
490 10 13
500 10 13
510 11 13
520 11 13
530 11 13
540 11 13
550 11 13
560 11 13
570 11 13
580 11 13
590 11 13
600 11 13
610 11 13
620 11 13
630 12 13
640 13 13
650 15 14
660 15 15
670 17 15
680 17 15
690 17 16
700 19 16
710 19 16
720 19 16
730 19 17
740 19 17
750 20 18
760 21 18
770 21 18
780 21 18
790 21 18
800 22 18
810 22 18
820 22 18
830 22 18
840 23 18
850 23 18
860 23 18
870 23 18
880 23 18
890 23 18
900 23 18
910 24 19
920 25 19
930 26 19
940 27 19
950 27 20
960 27 20
970 27 20
980 27 20
990 27 20
1000 27 21
