# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 1
10 0 1
11 0 3
12 0 5
13 0 6
14 0 9
15 0 11
16 0 13
17 0 14
18 0 17
19 0 20
20 0 22
21 0 25
22 0 28
23 0 30
24 0 32
25 0 33
26 0 36
27 0 39
28 0 43
29 0 47
30 0 49
31 0 52
32 0 55
33 0 57
34 0 59
35 0 60
36 0 63
37 0 64
38 0 67
39 0 72
40 0 73
41 0 75
42 0 76
43 0 79
44 0 80
45 0 81
46 0 83
47 0 84
48 0 86
49 0 86
50 0 89
51 0 92
52 0 94
53 0 96
54 0 99
55 0 101
56 0 103
57 0 104
58 0 105
59 0 106
60 0 110
61 0 114
62 0 118
63 0 119
64 0 121
65 0 122
66 0 125
67 0 126
68 0 129
69 0 130
70 0 134
71 0 135
72 0 139
73 0 143
74 0 145
75 0 148
76 0 151
77 0 152
78 0 153
79 0 156
80 0 159
81 0 161
82 0 162
83 0 165
84 0 169
85 0 172
86 0 175
87 0 178
88 0 179
89 0 181
90 0 184
91 0 187
92 0 190
93 0 190
94 0 192
95 0 195
96 0 197
97 0 201
98 0 204
99 0 205
100 0 207
101 0 209
102 0 212
103 0 216
104 0 218
105 0 223
106 0 225
107 0 227
108 0 228
109 0 232
110 0 233
111 0 235
112 0 235
113 0 238
114 0 241
115 0 245
116 0 247
117 0 249
118 0 250
119 0 253
120 0 256
121 0 259
122 0 263
123 0 264
124 0 266
125 0 268
126 0 269
127 0 272
128 0 274
129 0 274
130 0 276
131 0 279
132 0 282
133 0 285
134 0 286
135 0 288
136 0 290
137 0 292
138 0 294
139 0 298
140 0 301
141 0 303
142 0 305
143 0 308
144 0 309
145 0 312
146 0 314
147 0 317
148 0 317
149 0 321
150 0 323
151 0 326
152 0 328
153 0 329
154 0 332
155 0 335
156 0 336
157 0 339
158 0 341
159 0 342
160 0 344
161 0 346
162 0 348
163 0 351
164 0 354
165 0 356
166 0 359
167 0 361
168 0 363
169 0 367
170 0 368
171 0 371
172 0 373
173 0 376
174 0 378
175 0 379
176 0 382
177 0 385
178 0 387
179 0 391
180 0 394
181 0 396
182 0 398
183 0 399
184 0 402
185 0 406
186 0 409
187 0 412
188 0 416
189 0 417
190 0 421
191 0 424
192 0 425
193 0 427
194 0 429
195 0 432
196 0 433
197 0 437
198 0 440
199 0 441
200 0 445
